rowID,speciesID,sara_status,X1_threat_identified,X1.1_threat_identified,X1.2_threat_identified,X1.3_threat_identified,X2_threat_identified,X2.1_threat_identified,X2.2_threat_identified,X2.3_threat_identified,X2.4_threat_identified,X3_threat_identified,X3.1_threat_identified,X3.2_threat_identified,X3.3_threat_identified,X4_threat_identified,X4.1_threat_identified,X4.2_threat_identified,X4.3_threat_identified,X4.4_threat_identified,X5_threat_identified,X5.1_threat_identified,X5.2_threat_identified,X5.3_threat_identified,X5.4_threat_identified,X6_threat_identified,X6.1_threat_identified,X6.2_threat_identified,X6.3_threat_identified,X7_threat_identified,X7.1_threat_identified,X7.2_threat_identified,X7.3_threat_identified,X8_threat_identified,X8.1_threat_identified,X8.2_threat_identified,X8.3_threat_identified,X8.4_threat_identified,X8.5_threat_identified,X8.6_threat_identified,X9_threat_identified,X9.1_threat_identified,X9.2_threat_identified,X9.3_threat_identified,X9.4_threat_identified,X9.5_threat_identified,X9.6_threat_identified,X10_threat_identified,X10.1_threat_identified,X10.2_threat_identified,X10.3_threat_identified,X11_threat_identified,X11.1_threat_identified,X11.2_threat_identified,X11.3_threat_identified,X11.4_threat_identified,X11.5_threat_identified,bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9
44,1024,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0.49870825,15.3220005,-16.376333,805.0,90.0,43.0,25.742552,262.0,142.0,262.0,142.0,13.044084,26.33838,1289.0054,23.987,-25.538,49.525,15.3220005,-16.376333
47,258,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
49,833,1.0,1,2,2,2,1,2,2,2,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,2,2,2,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0.835,13.175,-12.757501,555.0,109.0,19.0,68.56813,287.0,65.0,287.0,67.0,12.118667,29.766087,1055.9305,20.037,-20.676,40.713,13.175,-10.657333
51,1003,2.0,1,2,2,2,1,2,2,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
54,1004,2.0,1,2,2,2,1,2,2,2,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,2,2,2,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7581042499999997,11.634333250000001,-16.94766685,715.0,111.75,26.0,53.615607999999995,310.25,88.25,204.5,195.75,10.408375000000001,25.7578785,1173.179575,18.868499999999997,-23.793750000000003,42.66225,8.253458525,-9.28970835
61,25,2.0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-9.5023749,11.0066665,-29.1035,260.5,46.5,7.5,55.69399799999999,117.0,28.5,109.5,36.5,8.55300015,15.815586,1651.59485,18.533,-35.372,53.904998500000005,9.37583375,-24.6495
62,14,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-3.73925,14.317834,-23.299168,513.0,87.0,18.0,54.710842,226.0,59.0,226.0,61.0,11.816501,22.335318,1525.3456,22.634,-30.271,52.905,14.317834,-20.952333
64,1019,2.0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
68,105,1.0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,-0.9638194670000001,14.323278,-17.726667333333335,522.0,95.0,17.666666666666668,60.811749666666664,248.66666666666666,59.0,248.66666666666666,61.333333333333336,11.862972666666666,25.497960666666668,1301.7156,21.82466666666667,-25.30666666666667,47.13133333333334,14.323278,-15.285388666666668
69,447,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.47913894149999986,15.04780575,-15.318833166666664,890.5,109.0,49.5,33.735326666666666,303.6666666666667,158.66666666666666,278.8333333333333,178.33333333333334,11.349583500000001,25.1806065,1232.9046583333336,22.631166833333335,-22.93616666666667,45.56733333333333,8.016555766666668,-9.780777766666667
72,252,0.0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
73,123,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
75,323,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
76,506,1.0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,-1.1905472731538462,13.421208346153845,-16.218086546153845,821.6923076923077,106.3076923076923,42.69230769230769,39.06329453846154,295.7692307692308,139.46153846153845,243.76923076923077,185.3846153846154,10.356671484615386,24.220845076923073,1211.3223653846153,20.72876930769231,-23.253942307692306,43.9827113076923,7.986650784615384,-10.181307684615383
78,327,2.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
79,1005,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-1.999145725,13.296750249999999,-18.956415999999997,853.5,106.5,40.5,32.6895285,307.5,138.0,299.0,140.0,11.790792,24.1306805,1306.88885,21.1645005,-27.631,48.795500000000004,12.702750250000001,-18.3389165
97,1020,2.0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-0.2525060875833334,13.849253541666668,-14.985177091666666,868.9166666666666,111.08333333333333,45.666666666666664,37.096752083333335,310.0833333333333,148.91666666666666,254.75,198.66666666666666,10.610762166666666,25.077899249999998,1176.2788874999999,21.109750083333335,-22.168520833333332,43.278270833333345,8.049552225,-8.453041658333332
101,827,0.0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.73925,14.317834,-23.299168,513.0,87.0,18.0,54.710842,226.0,59.0,226.0,61.0,11.816501,22.335318,1525.3456,22.634,-30.271,52.905,14.317834,-20.952333
104,1006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49870825,15.3220005,-16.376333,805.0,90.0,43.0,25.742552,262.0,142.0,262.0,142.0,13.044084,26.33838,1289.0054,23.987,-25.538,49.525,15.3220005,-16.376333
112,532,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0.4238957995,14.326,-14.940417,526.5,99.0,17.5,63.8622035,260.0,59.0,260.0,61.5,11.8862085,27.079282,1189.9006,21.42,-22.8245,44.2445,14.326,-12.4519165
117,1007,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
121,521,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.49870825,15.3220005,-16.376333,805.0,90.0,43.0,25.742552,262.0,142.0,262.0,142.0,13.044084,26.33838,1289.0054,23.987,-25.538,49.525,15.3220005,-16.376333
124,364,0.0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.49870825,15.3220005,-16.376333,805.0,90.0,43.0,25.742552,262.0,142.0,262.0,142.0,13.044084,26.33838,1289.0054,23.987,-25.538,49.525,15.3220005,-16.376333
126,375,1.0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49870825,15.3220005,-16.376333,805.0,90.0,43.0,25.742552,262.0,142.0,262.0,142.0,13.044084,26.33838,1289.0054,23.987,-25.538,49.525,15.3220005,-16.376333
129,311,1.0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
131,22,0.0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0.4238957995,14.326,-14.940417,526.5,99.0,17.5,63.8622035,260.0,59.0,260.0,61.5,11.8862085,27.079282,1189.9006,21.42,-22.8245,44.2445,14.326,-12.4519165
133,824,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,-3.9558056666666666,11.120777666666667,-18.3443888,768.3333333333334,112.66666666666667,28.333333333333332,48.63143399999999,318.0,96.0,177.0,238.66666666666666,9.838277666666668,24.421809,1212.2626,18.479,-24.833000000000002,43.312000000000005,6.6129447,-8.833833466666666
134,1503,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
135,1504,2.0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
136,1026,1.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,-2.4513332,11.869916499999999,-17.731333,965.5,112.0,49.5,26.9077175,325.5,174.5,317.0,191.5,9.823083,22.3758605,1197.6425,18.729000499999998,-25.253999999999998,43.983000000000004,11.275916500000001,-11.50683325
139,1040,2.0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,-3.8865595572857146,12.088119000000003,-19.88945262857143,589.4285714285714,96.0,20.714285714285715,55.85590785714286,260.57142857142856,70.14285714285714,198.42857142857142,132.28571428571428,10.34447632857143,23.385072,1310.5398142857143,19.581142857142854,-26.67114285714286,46.25228528571428,10.005785942857145,-14.75402377142857
142,1046,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.2525060875833334,13.849253541666668,-14.985177091666666,868.9166666666666,111.08333333333333,45.666666666666664,37.096752083333335,310.0833333333333,148.91666666666666,254.75,198.66666666666666,10.610762166666666,25.077899249999998,1176.2788874999999,21.109750083333335,-22.168520833333332,43.278270833333345,8.049552225,-8.453041658333332
148,177,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-4.4969997,11.2715,-21.536499,902.0,123.0,38.0,39.636505,353.0,134.0,336.0,138.0,10.5375,21.922981,1324.7723,18.342001,-29.724,48.066,10.0835,-20.3015
150,1008,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.999145725,13.296750249999999,-18.956415999999997,853.5,106.5,40.5,32.6895285,307.5,138.0,299.0,140.0,11.790792,24.1306805,1306.88885,21.1645005,-27.631,48.795500000000004,12.702750250000001,-18.3389165
154,1027,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0.49870825,15.3220005,-16.376333,805.0,90.0,43.0,25.742552,262.0,142.0,262.0,142.0,13.044084,26.33838,1289.0054,23.987,-25.538,49.525,15.3220005,-16.376333
165,1009,2.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.5791804833333334,13.637111499999998,-20.404,740.0,100.0,33.0,40.029966333333334,280.3333333333333,111.66666666666667,274.6666666666667,113.66666666666667,11.799361666666668,23.53222633333333,1379.7077666666667,21.654333666666663,-28.511,50.165333333333336,13.2411115,-19.210055333333333
168,1021,1.0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,-0.9638194670000001,14.323278,-17.726667333333335,522.0,95.0,17.666666666666668,60.811749666666664,248.66666666666666,59.0,248.66666666666666,61.333333333333336,11.862972666666666,25.497960666666668,1301.7156,21.82466666666667,-25.30666666666667,47.13133333333334,14.323278,-15.285388666666668
171,832,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.49870825,15.3220005,-16.376333,805.0,90.0,43.0,25.742552,262.0,142.0,262.0,142.0,13.044084,26.33838,1289.0054,23.987,-25.538,49.525,15.3220005,-16.376333
178,516,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,-3.2724583505,14.6028335,-22.1586665,382.0,66.5,12.0,53.9412345,171.5,42.0,170.0,51.5,10.726083500000001,21.043727,1497.60815,21.856,-29.719,51.575,13.498417,-16.3125
179,1041,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1840835,16.7725,-4.423333,1474.0,155.0,104.0,13.061298,436.0,318.0,326.0,393.0,9.636,28.413883,873.43695,23.3,-10.613,33.913,-1.3233333,16.690166
188,1028,2.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
193,400,0.0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
203,295,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1.3614167,9.400666,-6.3056664,1691.0,235.0,62.0,49.389156,693.0,208.0,273.0,609.0,9.231999,33.10978,646.2507,16.535,-11.348,27.883,-1.9139999,6.9086666
204,1011,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.999145725,13.296750249999999,-18.956415999999997,853.5,106.5,40.5,32.6895285,307.5,138.0,299.0,140.0,11.790792,24.1306805,1306.88885,21.1645005,-27.631,48.795500000000004,12.702750250000001,-18.3389165
210,146,1.0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,-1.1905472731538462,13.421208346153845,-16.218086546153845,821.6923076923077,106.3076923076923,42.69230769230769,39.06329453846154,295.7692307692308,139.46153846153845,243.76923076923077,185.3846153846154,10.356671484615386,24.220845076923073,1211.3223653846153,20.72876930769231,-23.253942307692306,43.9827113076923,7.986650784615384,-10.181307684615383
